Name,Conference
Acadia,AUS
Alberta,CW
Algoma,OUA
Bishops,RSEQ
Brandon,CW
Brock,OUA
Calgary,CW
Cape Breton,AUS
Carleton,OUA
Concordia,RSEQ
Dalhousie,AUS
Guelph,OUA
Lakehead,OUA
Laurentian,OUA
Laurier,OUA
Laval,RSEQ
Lethbridge,CW
MacEwan,CW
Manitoba,CW
McGill,RSEQ
McMaster,OUA
Memorial,AUS
Mount Royal,CW
Nipissing,OUA
UBC Okanagan,CW
Ontario Tech,OUA
Ottawa,OUA
Queens,OUA
Regina,CW
Ryerson,OUA
Saint Marys,AUS
Saskatchewan,CW
StFX,AUS
Thompson Rivers,CW
Toronto,OUA
Trinity Western,CW
UBC,CW
UFV,CW
UNB,AUS
UNBC,CW
UPEI,AUS
UQAM,RSEQ
Victoria,CW
Waterloo,OUA
Western,OUA
Windsor,OUA
Winnipeg,CW
York,OUA
